Name,Client,Effort,Estimated Fix Time,Finding,Impact,Impact Area,Include in Report,Notes,Recommendation,Screencast URL,Screenshot,Section,Shopify Fix Complexity,Status
Exit Intent: Is there a final engagement offer or incentive before the user leaves?,,Medium,< 30 min,"There is no exit intent mechanism, missing a last opportunity to capture the user before they leave.",Medium,Cart Abandonment,No,,"Install an exit-intent popup app (e.g., Privy, OptiMonk) with a discount or email capture offer",,,Mobile/Performance,App Install,TBD
"Thumb-Zone: Are primary CTAs (Add to Cart, Checkout) reachable within the thumb zone?",,Low,1-2 hrs,"Primary CTAs are outside the natural thumb reach zone on mobile, reducing tap rates.",Medium,Conversion Rate,No,,Place primary CTAs in the lower 50% of the screen on mobile within natural thumb reach,,,Mobile/Performance,Custom Code,TBD
Input Font Size: Are search and form inputs at least 16px to prevent iOS auto-zoom?,,Low,< 30 min,"Input fields are smaller than 16px, triggering iOS auto-zoom and disrupting the mobile experience.",Medium,Cart Abandonment,No,,Set all input font sizes to 16px minimum via CSS,,,Mobile/Performance,Custom Code,TBD
Mobile Navigation: Does the hamburger menu and any mega-menu collapse cleanly on mobile?,,Low,1-2 hrs,"The mobile menu does not collapse cleanly, making navigation difficult on small screens.",Medium,Bounce Rate,No,,Test all navigation states on mobile and fix any overflow or collapse issues,,,Mobile/Performance,Custom Code,TBD
"Third-Party Scripts: Are chat widgets, pixels, and tracking scripts deferred?",,Medium,1-2 hrs,"Third-party scripts are not deferred, blocking page render and slowing load time.",Medium,Bounce Rate,No,,Audit third-party scripts and defer or async-load non-critical ones,,,Mobile/Performance,Custom Code,TBD
App Bloat: Are there unused or redundant Shopify apps still installed?,,Low,< 30 min,"Unused apps are still installed, injecting unnecessary scripts and slowing the store.",Medium,Bounce Rate,No,,Audit installed apps and uninstall any that are unused or duplicated,,,Mobile/Performance,Shopify Admin,TBD
Image Format: Are hero and product images served in WebP format?,,Low,< 30 min,"Images are not served in WebP format, resulting in unnecessarily large file sizes.",Medium,Bounce Rate,No,,Convert images to WebP format or use a Shopify app to auto-serve WebP,,,Mobile/Performance,App Install,TBD
LCP: Does the hero image or main headline load within 2.5 seconds?,,Medium,1-2 hrs,"The Largest Contentful Paint exceeds 2.5 seconds, failing Core Web Vitals.",High,Bounce Rate,No,,Preload the hero image and ensure it is properly sized and compressed,,,Mobile/Performance,Custom Code,TBD
No Content Shifting: Does the layout remain stable while the page loads?,,Medium,1-2 hrs,"Layout shifts significantly while loading, creating a jarring experience.",High,Bounce Rate,No,,Set explicit width and height attributes on all images and embeds,,,Mobile/Performance,Custom Code,TBD
Page Speed: Does the site load in under 3 seconds on mobile?,,Medium,Half Day,"The site takes longer than 3 seconds to load on mobile, significantly increasing bounce rate.",High,Bounce Rate,No,,"Compress all images, defer non-critical scripts, and uninstall unused apps",,,Mobile/Performance,App Install,TBD
Stock Status: Are out-of-stock variants clearly grayed out or disabled?,,Medium,1-2 hrs,"Out-of-stock variants are not clearly grayed out, causing confusion.",Low,Conversion Rate,No,,Update theme code to disable unavailable variant combinations,,,Product Page,Custom Code,TBD
Order Confirmation Email: Does the automated email arrive promptly with all key info?,,Low,< 30 min,"The order confirmation email is missing key info including tracking, returns, and support contact.",Medium,Trust,No,,"Customize the Order Confirmation email to include tracking link, return policy, and contact info",,,Checkout,Shopify Admin,TBD
Variant Clarity: Is it obvious which size or color is currently selected?,,Low,< 30 min,It is not obvious which size or color is currently selected.,Low,Conversion Rate,No,,Use swatches or button-style selectors instead of dropdown menus,,,Product Page,Theme Setting,TBD
